Condition,CodeType,DxCodeLocation,DxCode
CATARACT,ICD10DX,ANY,H26.063
CATARACT,ICD10DX,ANY,H26.069
CATARACT,ICD10DX,ANY,H26.09
CATARACT,ICD10DX,ANY,H26.101
CATARACT,ICD10DX,ANY,H26.102
CATARACT,ICD10DX,ANY,H26.103
CATARACT,ICD10DX,ANY,H26.109
CATARACT,ICD10DX,ANY,H26.111
CATARACT,ICD10DX,ANY,H26.112
CATARACT,ICD10DX,ANY,H26.113
CATARACT,ICD10DX,ANY,H26.119
CATARACT,ICD10DX,ANY,H26.121
CATARACT,ICD10DX,ANY,H26.122
CATARACT,ICD10DX,ANY,H26.123
CATARACT,ICD10DX,ANY,H26.129
CATARACT,ICD10DX,ANY,H26.131
CATARACT,ICD10DX,ANY,H26.132
CATARACT,ICD10DX,ANY,H26.133
CATARACT,ICD10DX,ANY,H26.139
CATARACT,ICD10DX,ANY,H26.20
CATARACT,ICD10DX,ANY,H26.211
CATARACT,ICD10DX,ANY,H26.212
CATARACT,ICD10DX,ANY,H26.213
CATARACT,ICD10DX,ANY,H26.219
CATARACT,ICD10DX,ANY,H26.221
CATARACT,ICD10DX,ANY,H26.222
CATARACT,ICD10DX,ANY,H26.223
CATARACT,ICD10DX,ANY,H26.229
CATARACT,ICD10DX,ANY,H26.30
CATARACT,ICD10DX,ANY,H26.31
CATARACT,ICD10DX,ANY,H26.32
CATARACT,ICD10DX,ANY,H26.33
CATARACT,ICD10DX,ANY,H26.40
CATARACT,ICD10DX,ANY,H26.411
CATARACT,ICD10DX,ANY,H26.412
CATARACT,ICD10DX,ANY,H26.413
CATARACT,ICD10DX,ANY,H26.419
CATARACT,ICD10DX,ANY,H26.491
CATARACT,ICD10DX,ANY,H26.492
CATARACT,ICD10DX,ANY,H26.493
CATARACT,ICD10DX,ANY,H26.499
CATARACT,ICD10DX,ANY,H26.8
CATARACT,ICD10DX,ANY,H26.9
CATARACT,ICD10DX,ANY,Q12.0
CHF,ICD10DX,ANY,I09.81
CHF,ICD10DX,ANY,I11.0
CHF,ICD10DX,ANY,I13.0
CHF,ICD10DX,ANY,I13.2
CHF,ICD10DX,ANY,I42.0
CHF,ICD10DX,ANY,I42.5
CHF,ICD10DX,ANY,I42.6
CHF,ICD10DX,ANY,I42.7
CHF,ICD10DX,ANY,I42.8
CHF,ICD10DX,ANY,I43
CHF,ICD10DX,ANY,I50.1
CHF,ICD10DX,ANY,I50.20
CHF,ICD10DX,ANY,I50.21
CHF,ICD10DX,ANY,I50.22
CHF,ICD10DX,ANY,I50.23
CHF,ICD10DX,ANY,I50.30
CHF,ICD10DX,ANY,I50.31
CHF,ICD10DX,ANY,I50.32
CHF,ICD10DX,ANY,I50.33
CHF,ICD10DX,ANY,I50.40
CHF,ICD10DX,ANY,I50.41
CHF,ICD10DX,ANY,I50.42
CHF,ICD10DX,ANY,I50.43
CHF,ICD10DX,ANY,I50.810
CHF,ICD10DX,ANY,I50.811
CHF,ICD10DX,ANY,I50.812
CHF,ICD10DX,ANY,I50.813
CHF,ICD10DX,ANY,I50.814
CHF,ICD10DX,ANY,I50.82
CHF,ICD10DX,ANY,I50.83
CHF,ICD10DX,ANY,I50.84
CHF,ICD10DX,ANY,I50.89
CHF,ICD10DX,ANY,I50.9
CHF,ICD10DX,ANY,P29.0
CKD,ICD10DX,ANY,A18.11
CKD,ICD10DX,ANY,A52.75
CKD,ICD10DX,ANY,B52.0
CKD,ICD10DX,ANY,E08.21
CKD,ICD10DX,ANY,E08.22
CKD,ICD10DX,ANY,E08.29
CKD,ICD10DX,ANY,E09.21
CKD,ICD10DX,ANY,E09.22
CKD,ICD10DX,ANY,E09.29
CKD,ICD10DX,ANY,E10.21
CKD,ICD10DX,ANY,E10.22
CKD,ICD10DX,ANY,E10.29
CKD,ICD10DX,ANY,E11.21
CKD,ICD10DX,ANY,E11.22
CKD,ICD10DX,ANY,E11.29
CKD,ICD10DX,ANY,E13.21
CKD,ICD10DX,ANY,E13.22
CKD,ICD10DX,ANY,E13.29
CKD,ICD10DX,ANY,I12.0
CKD,ICD10DX,ANY,I12.9
CKD,ICD10DX,ANY,I13.0
CKD,ICD10DX,ANY,I13.10
CKD,ICD10DX,ANY,I13.11
CKD,ICD10DX,ANY,I13.2
CKD,ICD10DX,ANY,K76.7
CKD,ICD10DX,ANY,M10.30
CKD,ICD10DX,ANY,M10.311
CKD,ICD10DX,ANY,M10.312
CKD,ICD10DX,ANY,M10.319
CKD,ICD10DX,ANY,M10.321
CKD,ICD10DX,ANY,M10.322
CKD,ICD10DX,ANY,M10.329
CKD,ICD10DX,ANY,M10.331
CKD,ICD10DX,ANY,M10.332
CKD,ICD10DX,ANY,M10.339
CKD,ICD10DX,ANY,M10.341
CKD,ICD10DX,ANY,M10.342
CKD,ICD10DX,ANY,M10.349
CKD,ICD10DX,ANY,M10.351
CKD,ICD10DX,ANY,M10.352
CKD,ICD10DX,ANY,M10.359
CKD,ICD10DX,ANY,M10.361
CKD,ICD10DX,ANY,M10.362
CKD,ICD10DX,ANY,M10.369
CKD,ICD10DX,ANY,M10.371
CKD,ICD10DX,ANY,M10.372
CKD,ICD10DX,ANY,M10.379
CKD,ICD10DX,ANY,M10.38
CKD,ICD10DX,ANY,M10.39
CKD,ICD10DX,ANY,M32.14
CKD,ICD10DX,ANY,M32.15
CKD,ICD10DX,ANY,M35.04
CKD,ICD10DX,ANY,M35.0A
CKD,ICD10DX,ANY,N01.0
CKD,ICD10DX,ANY,N01.1
CKD,ICD10DX,ANY,N01.2
CKD,ICD10DX,ANY,N01.3
CKD,ICD10DX,ANY,N01.4
CKD,ICD10DX,ANY,N01.5
