Condition,CodeType,DxCodeLocation,DxCode,,,,,,
ANEMIA,ICD10DX,ANY,D60.9,,,,,,
ANEMIA,ICD10DX,ANY,D61.01,,,,,,
ANEMIA,ICD10DX,ANY,D61.09,,,,,,
ANEMIA,ICD10DX,ANY,D61.1,,,,,,
ANEMIA,ICD10DX,ANY,D61.2,,,,,,
ANEMIA,ICD10DX,ANY,D61.3,,,,,,
ANEMIA,ICD10DX,ANY,D61.810,,,,,,
ANEMIA,ICD10DX,ANY,D61.811,,,,,,
ANEMIA,ICD10DX,ANY,D61.818,,,,,,
ANEMIA,ICD10DX,ANY,D61.82,,,,,,
ANEMIA,ICD10DX,ANY,D61.89,,,,,,
ANEMIA,ICD10DX,ANY,D61.9,,,,,,
ANEMIA,ICD10DX,ANY,D62,,,,,,
ANEMIA,ICD10DX,ANY,D63.0,,,,,,
ANEMIA,ICD10DX,ANY,D63.1,,,,,,
ANEMIA,ICD10DX,ANY,D63.8,,,,,,
ANEMIA,ICD10DX,ANY,D64.0,,,,,,
ANEMIA,ICD10DX,ANY,D64.1,,,,,,
ANEMIA,ICD10DX,ANY,D64.2,,,,,,
ANEMIA,ICD10DX,ANY,D64.3,,,,,,
ANEMIA,ICD10DX,ANY,D64.4,,,,,,
ANEMIA,ICD10DX,ANY,D64.81,,,,,,
ANEMIA,ICD10DX,ANY,D64.89,,,,,,
ANEMIA,ICD10DX,ANY,D64.9,,,,,,
ANEMIA,ICD9DX,ANY,280,,,,,,
ANEMIA,ICD9DX,ANY,280.1,,,,,,
ANEMIA,ICD9DX,ANY,280.8,,,,,,
ANEMIA,ICD9DX,ANY,280.9,,,,,,
ANEMIA,ICD9DX,ANY,281,,,,,,
ANEMIA,ICD9DX,ANY,281.1,,,,,,
ANEMIA,ICD9DX,ANY,281.2,,,,,,
ANEMIA,ICD9DX,ANY,281.3,,,,,,
ANEMIA,ICD9DX,ANY,281.4,,,,,,
ANEMIA,ICD9DX,ANY,281.8,,,,,,
ANEMIA,ICD9DX,ANY,281.9,,,,,,
ANEMIA,ICD9DX,ANY,282,,,,,,
ANEMIA,ICD9DX,ANY,282.1,,,,,,
ANEMIA,ICD9DX,ANY,282.2,,,,,,
ANEMIA,ICD9DX,ANY,282.3,,,,,,
ANEMIA,ICD9DX,ANY,282.4,,,,,,
ANEMIA,ICD9DX,ANY,282.41,,,,,,
